Visitation,Log Visitiation,Date,Day,MaxTemp,Rain,Solar ,Day as number,WeekdayBool,WeekendBool,HolidayBool,Season,Average Temp 15 Days either side,Ratio temp:averageTemp,Averge Solar 15dayEither side,Ratio Solar:AverageTemp
1094,6.997595983,1/01/2022,Saturday,38,0,21.5,6,0,1,1,1,25.98666667,1.462288353,22.25333333,0.966147394
4274,8.360305436,2/01/2022,Sunday,27.2,0,27.6,7,0,1,1,1,25.95,1.048169557,22.7625,1.212520593
5891,8.681181042,3/01/2022,Monday,21.3,0,29.8,1,1,0,1,1,25.75294118,0.827089995,22.6,1.318584071
4658,8.44634145,4/01/2022,Tuesday,21.6,0,8,2,1,0,1,1,25.49444444,0.847243408,22.62777778,0.353547753
2130,7.663877259,5/01/2022,Wednesday,25.8,0,17,3,1,0,1,1,25.44736842,1.013857291,23.05263158,0.737442922
1898,7.548555979,6/01/2022,Thursday,27.4,0.2,19.8,4,1,0,1,1,25.5,1.074509804,23.435,0.844890122
1595,7.374629015,7/01/2022,Friday,24.5,11.8,17.2,5,1,0,1,1,25.58095238,0.957743857,23.77142857,0.723557692
2382,7.77569575,8/01/2022,Saturday,20.7,49.2,14.6,6,0,1,1,1,25.81818182,0.801760563,24.06818182,0.606610009
3118,8.04494705,9/01/2022,Sunday,21,0.2,25.2,7,0,1,1,1,25.94782609,0.809316354,24.3,1.037037037
2506,7.826443135,10/01/2022,Monday,24.9,0,29.4,1,1,0,1,1,26.05833333,0.955548449,24.52916667,1.198573127
1952,7.576609767,11/01/2022,Tuesday,25.3,0,28.5,2,1,0,1,1,26.116,0.968754786,24.744,1.151794374
1922,7.56112159,12/01/2022,Wednesday,26.9,0,28.7,3,1,0,1,1,26.30769231,1.02251462,24.84615385,1.155108359
1339,7.199678346,13/01/2022,Thursday,29,0,26.4,4,1,0,1,1,26.57407407,1.091289199,24.89259259,1.060556465
978,6.88550967,14/01/2022,Friday,33.1,2.2,23.3,5,1,0,1,1,26.68928571,1.240198046,24.36071429,0.956457997
3103,8.040124664,15/01/2022,Saturday,23.1,0.6,16.8,6,0,1,1,1,26.53448276,0.870565302,24,0.7
3350,8.116715625,16/01/2022,Sunday,25.4,0,30.4,7,0,1,1,1,26.13448276,0.971896028,24.00689655,1.266302787
2334,7.755338813,17/01/2022,Monday,22.6,0,20,1,1,0,1,1,26.17931034,0.863277134,24.0862069,0.830350752
2712,7.905441649,18/01/2022,Tuesday,21.1,0,23.1,2,1,0,1,1,26.31034483,0.801965924,24.09655172,0.958643389
2491,7.820439515,19/01/2022,Wednesday,24.6,0,30.7,3,1,0,1,1,26.22758621,0.937943729,23.63793103,1.298760029
1755,7.470224136,20/01/2022,Thursday,26.5,0,30.7,4,1,0,1,1,25.9862069,1.019771762,23.72068966,1.294228812
1493,7.308542798,21/01/2022,Friday,27.2,0,30.5,5,1,0,1,1,25.83448276,1.05285638,23.46206897,1.299970606
2404,7.784889296,22/01/2022,Saturday,30.8,0,30.3,6,0,1,1,1,25.84137931,1.191886843,23.74482759,1.276067383
1806,7.498869734,23/01/2022,Sunday,28.8,0,29.4,7,0,1,1,1,26.01724138,1.10695825,24.13103448,1.218348099
1547,7.344072851,24/01/2022,Monday,28.6,0,29.8,1,1,0,1,1,26.2,1.091603053,24.60689655,1.211042601
1191,7.082548569,25/01/2022,Tuesday,27.5,0,29.9,2,1,0,1,1,26.34482759,1.043848168,24.71034483,1.210019537
2201,7.696667082,26/01/2022,Wednesday,31.1,0,27.4,3,1,0,1,1,26.47586207,1.174654858,24.55172414,1.116011236
901,6.803505258,27/01/2022,Thursday,33.5,0.8,26.1,4,1,0,1,1,26.33793103,1.271929825,24.1,1.082987552
838,6.7310181,28/01/2022,Friday,29.8,2.4,10,5,1,0,1,1,26.07931034,1.142668253,23.77931034,0.420533643
2931,7.983098941,29/01/2022,Saturday,22.2,32.4,14.1,6,0,1,1,1,25.84482759,0.858972648,23.64827586,0.59623797
3587,8.185071478,30/01/2022,Sunday,26.4,0.2,23.8,7,0,1,1,1,26.1862069,1.00816434,23.76551724,1.001450958
774,6.651571874,31/01/2022,Monday,28.5,0,27.9,1,1,0,0,1,26.15172414,1.089794304,23.99310345,1.162834148
556,6.320768294,1/02/2022,Tuesday,25.1,0,16.5,2,1,0,0,1,26.13448276,0.960416942,23.86551724,0.691374079
942,6.848005275,2/02/2022,Wednesday,19.2,0.8,10.4,3,1,0,0,1,26.18275862,0.733306993,23.7862069,0.437228182
570,6.345636361,3/02/2022,Thursday,18.8,0,9.5,4,1,0,0,1,26.12413793,0.719640971,23.55862069,0.403249415
1001,6.908754779,4/02/2022,Friday,23,0,28,5,1,0,0,1,25.97241379,0.885554965,23.15862069,1.209053008
3285,8.097121931,5/02/2022,Saturday,24.7,0.2,28.4,6,0,1,0,1,25.77241379,0.958389082,22.75172414,1.248257048
3160,8.058327307,6/02/2022,Sunday,25.8,0,28.4,7,0,1,0,1,25.55862069,1.009444145,22.56551724,1.258557457
597,6.391917113,7/02/2022,Monday,26.3,0,28.2,1,1,0,0,1,25.27931034,1.040376483,22.18275862,1.271257578
648,6.473890696,8/02/2022,Tuesday,29.1,0,24.8,2,1,0,0,1,25.05172414,1.161596696,21.93793103,1.130462119
714,6.570882962,9/02/2022,Wednesday,29.1,0,15.4,3,1,0,0,1,25.07241379,1.160638152,21.77241379,0.707317073
637,6.456769656,10/02/2022,Thursday,22.9,0,19.4,4,1,0,0,1,24.82758621,0.922361111,21.56206897,0.89972813
922,6.826545224,11/02/2022,Friday,21.5,0,22.6,5,1,0,0,1,24.45517241,0.879159616,21.27241379,1.062408818
2917,7.97831097,12/02/2022,Saturday,26.3,0,26.7,6,0,1,0,1,24.36206897,1.079547063,21.0137931,1.270594027
1779,7.483806688,13/02/2022,Sunday,33,0,23.4,7,0,1,0,1,24.44482759,1.34997884,21.46206897,1.09029563
476,6.165417854,14/02/2022,Monday,24.4,0,26.7,1,1,0,0,1,24.36551724,1.001415228,21.43103448,1.245856798
645,6.469250317,15/02/2022,Tuesday,22.1,0,17.7,2,1,0,0,1,24.23448276,0.911923734,20.99655172,0.842995566
821,6.710523109,16/02/2022,Wednesday,22.5,0,16.5,3,1,0,0,1,24.31724138,0.925269427,20.34137931,0.811154433
550,6.309918278,17/02/2022,Thursday,22.9,0,19.1,4,1,0,0,1,24.61724138,0.930242331,20.34482759,0.938813559
874,6.773080376,18/02/2022,Friday,22.1,0,18.9,5,1,0,0,1,25.08965517,0.880841121,20.79310345,0.908955224
3870,8.261009786,19/02/2022,Saturday,21.4,0,25.1,6,0,1,0,1,25.06896552,0.853645117,20.97586207,1.196613513
4199,8.342601681,20/02/2022,Sunday,24.6,0,19.2,7,0,1,0,1,24.93448276,0.986585535,20.3137931,0.945170599
730,6.593044534,21/02/2022,Monday,20.7,0,22.3,1,1,0,0,1,24.84827586,0.833055787,19.55862069,1.1401622
888,6.788971743,22/02/2022,Tuesday,22,0,25,2,1,0,0,1,24.65172414,0.892432508,19.15172414,1.305365502
916,6.820016365,23/02/2022,Wednesday,28.1,0,23.8,3,1,0,0,1,24.39655172,1.15180212,18.62068966,1.278148148
438,6.08221891,24/02/2022,Thursday,24,0,19,4,1,0,0,1,24.11034483,0.995423341,18.51724138,1.026070764
856,6.752270376,25/02/2022,Friday,22.7,0,18.6,5,1,0,0,1,24.02068966,0.945018662,18.65517241,0.997042514
3278,8.094988759,26/02/2022,Saturday,27.1,0,23,6,0,1,0,1,24,1.129166667,18.47241379,1.245099869
3701,8.216358332,27/02/2022,Sunday,24.6,0,13.2,7,0,1,0,1,24.12413793,1.019725557,18.43793103,0.715915467
634,6.452048954,28/02/2022,Monday,24.1,0,11.2,1,1,0,0,1,23.84827586,1.010555234,18.24482759,0.613872614
360,5.886104031,1/03/2022,Tuesday,24.7,0,8.9,2,1,0,0,2,23.8862069,1.034069583,18.13103448,0.490871054
720,6.579251212,2/03/2022,Wednesday,27.5,6,16.6,3,1,0,0,2,23.94137931,1.148638917,17.56206897,0.945218928
601,6.398594935,3/03/2022,Thursday,27.9,0,23.4,4,1,0,0,2,24.19310345,1.153221209,17.37586207,1.346695773
746,6.6147256,4/03/2022,Friday,32.5,0,14.8,5,1,0,0,2,24.15862069,1.345275478,17.17586207,0.861674363
1122,7.022868086,5/03/2022,Saturday,22.4,40,8.8,6,0,1,0,2,24.30689655,0.921549156,16.89655172,0.520816327
1772,7.479864131,6/03/2022,Sunday,20.8,2,6.5,7,0,1,0,2,24.36551724,0.85366544,16.87931034,0.385086823
719,6.577861358,7/03/2022,Monday,23.3,0,16.6,1,1,0,0,2,24.37931034,0.95572843,16.56206897,1.002290235
508,6.230481448,8/03/2022,Tuesday,20.6,0.8,12.8,2,1,0,0,2,24.38275862,0.844859284,16.56206897,0.772850302
971,6.878326468,9/03/2022,Wednesday,21.7,0,21.8,3,1,0,0,2,24.33448276,0.891738699,15.97931034,1.364264135
748,6.617402978,10/03/2022,Thursday,20.8,0,19.4,4,1,0,0,2,24.06896552,0.864183381,15.5862069,1.244690265
1193,7.084226422,11/03/2022,Friday,20.3,0,14.1,5,1,0,0,2,23.95517241,0.847416151,15.34482759,0.918876404
4226,8.349011198,12/03/2022,Saturday,20.9,0,21.6,6,0,1,0,2,23.87931034,0.875234657,15.12758621,1.427855026
4170,8.335671315,13/03/2022,Sunday,29.9,0,21.1,7,0,1,0,2,23.95172414,1.248344371,15.12413793,1.395120839
3837,8.25244609,14/03/2022,Monday,25,1,20.1,1,1,0,0,2,23.94827586,1.043916487,14.91724138,1.347434119
751,6.621405652,15/03/2022,Tuesday,25.5,0.2,10.2,2,1,0,0,2,23.80689655,1.071118192,14.97241379,0.681252879
551,6.311734809,16/03/2022,Wednesday,23.7,0.2,12.3,3,1,0,0,2,23.68965517,1.000436681,14.86551724,0.827418232
697,6.546785411,17/03/2022,Thursday,29.8,0.8,10.7,4,1,0,0,2,23.45862069,1.270321917,14.99310345,0.713661454
648,6.473890696,18/03/2022,Friday,21.9,0.6,11,5,1,0,0,2,23.16896552,0.945229945,14.9137931,0.737572254
3073,8.030409562,19/03/2022,Saturday,26.4,0,18.4,6,0,1,0,2,22.76551724,1.159648591,14.52068966,1.267157445
4571,8.427487278,20/03/2022,Sunday,23.1,0,15.9,7,0,1,0,2,22.60344828,1.021967963,14.26896552,1.114306428
836,6.728628613,21/03/2022,Monday,25,0,19.2,1,1,0,0,2,22.54137931,1.109071439,14.18275862,1.353756382
554,6.317164687,22/03/2022,Tuesday,20.8,0,5.4,2,1,0,0,2,22.41034483,0.928142791,14.22068966,0.379728419
732,6.595780514,23/03/2022,Wednesday,20.6,1,13.6,3,1,0,0,2,22.43448276,0.918229327,14.07931034,0.965956405
609,6.411818268,24/03/2022,Thursday,20.4,0,16.8,4,1,0,0,2,22.43793103,0.909174735,14.02413793,1.197934596
966,6.873163834,25/03/2022,Friday,20.7,0,12.7,5,1,0,0,2,22.5,0.92,13.75172414,0.923520562
4939,8.504918161,26/03/2022,Saturday,20.5,0,18.5,6,0,1,0,2,22.69655172,0.903220905,13.56551724,1.363751906
3712,8.219326094,27/03/2022,Sunday,29.2,0,17,7,0,1,0,2,22.96551724,1.271471471,13.43793103,1.265075699
889,6.790097236,28/03/2022,Monday,24.5,0,14.8,1,1,0,0,2,22.59655172,1.084236228,13.20344828,1.1209193
843,6.736966958,29/03/2022,Tuesday,20,0,8.1,2,1,0,0,2,22.3862069,0.89340727,12.75862069,0.634864865
672,6.510258341,30/03/2022,Wednesday,21.3,0,12.6,3,1,0,0,2,22.19310345,0.959757613,12.42758621,1.013873474
502,6.21860012,31/03/2022,Thursday,20.8,0,14.3,4,1,0,0,2,22.26206897,0.934324659,12.53448276,1.14085282
844,6.738152495,1/04/2022,Friday,19.5,0,12,5,1,0,0,2,22.17241379,0.879471229,12.53103448,0.957622455
2177,7.685703061,2/04/2022,Saturday,20.8,0,7.5,6,0,1,0,2,22.29655172,0.932879678,12.48275862,0.600828729
1476,7.297091005,3/04/2022,Sunday,17.7,2.2,6.3,7,0,1,0,2,22.4,0.790178571,12.54137931,0.502337091
864,6.761572769,4/04/2022,Monday,19,1.4,7.6,1,1,0,0,2,22.1862069,0.856387939,12.33448276,0.616158792
661,6.49375384,5/04/2022,Tuesday,19.5,0,12.5,2,1,0,0,2,21.85517241,0.892237299,11.8862069,1.051639106
740,6.606650186,6/04/2022,Wednesday,21.3,0,11.2,3,1,0,0,2,21.84137931,0.975213135,11.33793103,0.98783455
847,6.741700695,7/04/2022,Thursday,21.8,0,13.9,4,1,0,0,2,21.71724138,1.003810734,11.47931034,1.210874136
1118,7.019296654,8/04/2022,Friday,22.6,0,14,5,1,0,0,2,21.61034483,1.045795436,11.2862069,1.240452185
3656,8.204124933,9/04/2022,Saturday,26,0,10.4,6,0,1,1,2,21.49310345,1.209690358,11.16896552,0.93115159
3898,8.26821888,10/04/2022,Sunday,28.7,0,14.8,7,0,1,1,2,21.37586207,1.342635909,11.19655172,1.32183554
2088,7.643961949,11/04/2022,Monday,19.2,1.4,8.2,1,1,0,1,2,21.04827586,0.912188729,10.97241379,0.747328724
2373,7.771910256,12/04/2022,Tuesday,18.9,0,10.5,2,1,0,1,2,20.9,0.90430622,10.82758621,0.969745223
3426,8.139148679,13/04/2022,Wednesday,19.9,1.2,13.3,3,1,0,1,2,20.95517241,0.949646207,10.72068966,1.24059183
3545,8.173293439,14/04/2022,Thursday,25.7,0,12.2,4,1,0,1,2,20.99655172,1.224010511,10.65862069,1.144613394
5693,8.646992629,15/04/2022,Friday,27.2,0,9.3,5,1,0,1,2,20.99655172,1.295450813,10.46206897,0.888925511
6135,8.721765357,16/04/2022,Saturday,25.5,0,12.7,6,0,1,1,2,20.95517241,1.216883331,10.12068966,1.254855196
5773,8.660947155,17/04/2022,Sunday,29.4,0,12.4,7,0,1,1,2,20.9137931,1.405770816,10.04482759,1.234466186
2144,7.670428522,18/04/2022,Monday,16.9,14.6,2.9,1,1,0,1,2,21.05517241,0.802653128,10.12413793,0.286444142
1085,6.989335266,19/04/2022,Tuesday,15.4,12,3.3,2,1,0,1,2,21.12068966,0.729142857,10.25172414,0.321897074
2417,7.790282381,20/04/2022,Wednesday,20.4,4,9.5,3,1,0,1,2,21.02758621,0.970154149,10.40689655,0.912856196
3347,8.115819701,21/04/2022,Thursday,17,0,8,4,1,0,1,2,20.78965517,0.81771438,10.13103448,0.789652825
4662,8.44719982,22/04/2022,Friday,17.3,0,13.4,5,1,0,1,2,20.56551724,0.84121395,10.07241379,1.330366313
4790,8.47428569,23/04/2022,Saturday,17.3,0,13.5,6,0,1,1,2,20.31724138,0.851493551,9.95862069,1.355609418
5495,8.611593867,24/04/2022,Sunday,17.1,0,12,7,0,1,1,2,19.98275862,0.855737705,9.686206897,1.238875044
5711,8.650149419,25/04/2022,Monday,19.7,0,12.8,1,1,0,0,2,19.52068966,1.009185656,9.589655172,1.334771665
1250,7.13089883,26/04/2022,Tuesday,20.2,0,11.7,2,1,0,0,2,19.4,1.041237113,9.403448276,1.244224422
955,6.86171134,27/04/2022,Wednesday,21.6,0,6.3,3,1,0,0,2,19.27241379,1.120772947,9.510344828,0.662436548
988,6.895682698,28/04/2022,Thursday,22.5,0,6.9,4,1,0,0,2,19.19310345,1.172296083,9.375862069,0.735932328
834,6.726233402,29/04/2022,Friday,20.8,0,4.4,5,1,0,0,2,18.91034483,1.099927061,9.227586207,0.476831091
1988,7.594884387,30/04/2022,Saturday,18.3,20,9.8,6,0,1,0,2,18.61724138,0.982959807,8.972413793,1.092236741
3023,8.014004995,1/05/2022,Sunday,19.6,0,9.8,7,0,1,0,2,18.47586207,1.060843598,8.744827586,1.120662461
1358,7.213768308,2/05/2022,Monday,21.8,0,10,1,1,0,0,2,18,1.211111111,8.631034483,1.158609668
1081,6.985641818,3/05/2022,Tuesday,20.9,0,12.1,2,1,0,0,2,17.96206897,1.163563064,8.451724138,1.431660547
610,6.413458957,4/05/2022,Wednesday,16.8,0,4.5,3,1,0,0,2,17.97586207,0.93458661,8.651724138,0.520127541
864,6.761572769,5/05/2022,Thursday,14.4,0.4,9.5,4,1,0,0,2,17.78275862,0.809773124,8.824137931,1.076592419
801,6.685860947,6/05/2022,Friday,15.3,0,10.6,5,1,0,0,2,17.71034483,0.863901869,8.717241379,1.215981013
1397,7.242082359,7/05/2022,Saturday,15.4,1.6,6.1,6,0,1,0,2,17.58275862,0.875858011,8.637931034,0.706187625
2425,7.793586803,8/05/2022,Sunday,16.3,0,7.6,7,0,1,0,2,17.40344828,0.936595998,8.531034483,0.890864996
1060,6.966024187,9/05/2022,Monday,15.3,0,9.4,1,1,0,0,2,17.26206897,0.886336396,8.268965517,1.136780651
994,6.901737207,10/05/2022,Tuesday,15.7,0,11.3,2,1,0,0,2,17.16206897,0.914808117,8.186206897,1.380370682
1043,6.949856455,11/05/2022,Wednesday,15.2,0,6.6,3,1,0,0,2,17.12413793,0.887635924,8.093103448,0.815509161
593,6.385194399,12/05/2022,Thursday,17.6,0,9,4,1,0,0,2,16.95517241,1.03803132,7.95862069,1.13084922
731,6.59441346,13/05/2022,Friday,17.5,0.6,4.8,5,1,0,0,2,16.69655172,1.048120611,7.920689655,0.606007836
1143,7.041411664,14/05/2022,Saturday,18.7,0.2,2.7,6,0,1,0,2,16.47241379,1.135231317,7.944827586,0.33984375
4085,8.315077007,15/05/2022,Sunday,21.4,1.2,9.4,7,0,1,0,2,16.35862069,1.308178752,8.079310345,1.163465642
753,6.624065228,16/05/2022,Monday,15.6,0,7.2,1,1,0,0,2,16.07586207,0.97039897,7.965517241,0.903896104
933,6.838405201,17/05/2022,Tuesday,15.8,1,8.7,2,1,0,0,2,15.68965517,1.007032967,7.762068966,1.120835184
747,6.616065185,18/05/2022,Wednesday,15.8,0,8.3,3,1,0,0,2,15.39310345,1.026433692,7.603448276,1.091609977
828,6.719013154,19/05/2022,Thursday,14.8,0,6.4,4,1,0,0,2,15.21724138,0.972581011,7.389655172,0.866075595
1112,7.013915475,20/05/2022,Friday,14.9,0,5.7,5,1,0,0,2,15.1862069,0.981153497,7.520689655,0.757909216
2718,7.907651595,21/05/2022,Saturday,13.6,0,10.3,6,0,1,0,2,15.22068966,0.893520616,7.482758621,1.376497696
3132,8.049427057,22/05/2022,Sunday,12.1,0,5.9,7,0,1,0,2,15.16206897,0.798044121,7.372413793,0.800280636
964,6.871091295,23/05/2022,Monday,13,0,9.6,1,1,0,0,2,15.05862069,0.863292878,7.368965517,1.30276088
1274,7.149916836,24/05/2022,Tuesday,16.8,0,10.1,2,1,0,0,2,14.92758621,1.125433125,7.344827586,1.375117371
1142,7.04053639,25/05/2022,Wednesday,19.1,0,7.8,3,1,0,0,2,14.82758621,1.288139535,7.313793103,1.066478076
704,6.556778356,26/05/2022,Thursday,16.7,2.2,5.2,4,1,0,0,2,14.77931034,1.129958003,7.175862069,0.72465161
922,6.826545224,27/05/2022,Friday,15,0.2,7.6,5,1,0,0,2,14.65862069,1.023288638,7.213793103,1.053537285
2792,7.934513464,28/05/2022,Saturday,14.3,0,8.3,6,0,1,0,2,14.50689655,0.985738056,7.127586207,1.164489598
2978,7.999007213,29/05/2022,Sunday,15,0,6.5,7,0,1,0,2,14.3137931,1.047940255,7.162068966,0.907558979
